athlete_id,year,meet_name,time,place,all_american
59402,2023,NCAA Division III Cross Country Championships,1593.7235,235.0,0
59402,2022,NCAA Division III Cross Country Championships,1648.8264,264.0,0
67603,2023,NCAA Division III Cross Country Championships,1498.5029,29.0,1
67603,2022,NCAA Division III Cross Country Championships,1529.6026,26.0,1
67604,2023,NCAA Division III Cross Country Championships,1536.2082,82.0,0
67607,2023,NCAA Division III Cross Country Championships,1562.1152,152.0,0
63513,2022,NCAA Division III Cross Country Championships,1587.4168000000002,168.0,0
57370,2022,NCAA Division III Cross Country Championships,1552.6063,63.0,0
57370,2021,NCAA Division III Cross Country Championships,1447.8,19.0,1
57371,2023,NCAA Division III Cross Country Championships,1475.2006000000001,6.0,1
57371,2022,NCAA Division III Cross Country Championships,1522.8018,18.0,1
57371,2021,NCAA Division III Cross Country Championships,1621.3,287.0,0
57372,2023,NCAA Division III Cross Country Championships,1518.6052,52.0,0
57372,2021,NCAA Division III Cross Country Championships,1486.3,91.0,0
57374,2023,NCAA Division III Cross Country Championships,1549.1118,118.0,0
57374,2022,NCAA Division III Cross Country Championships,1565.51,100.0,0
57375,2023,NCAA Division III Cross Country Championships,1531.6072,72.0,0
57375,2022,NCAA Division III Cross Country Championships,1580.9153000000001,153.0,0
57375,2021,NCAA Division III Cross Country Championships,1498.6,126.0,0
71712,2022,NCAA Division III Cross Country Championships,1586.1164999999999,165.0,0
71711,2023,NCAA Division III Cross Country Championships,1560.6151,151.0,0
71711,2022,NCAA Division III Cross Country Championships,1638.7261,261.0,0
71714,2023,NCAA Division III Cross Country Championships,1620.027,270.0,0
51235,2021,NCAA Division III Cross Country Championships,1525.0,189.0,0
51238,2022,NCAA Division III Cross Country Championships,1575.8135,135.0,0
51240,2023,NCAA Division III Cross Country Championships,1520.4056,56.0,0
51240,2022,NCAA Division III Cross Country Championships,1565.6100999999999,101.0,0
51244,2023,NCAA Division III Cross Country Championships,1529.5066,66.0,0
51244,2022,NCAA Division III Cross Country Championships,1574.5131,131.0,0
51245,2023,NCAA Division III Cross Country Championships,1534.2075,75.0,0
51245,2022,NCAA Division III Cross Country Championships,1560.2085,85.0,0
51250,2023,NCAA Division III Cross Country Championships,1605.9257,257.0,0
51250,2022,NCAA Division III Cross Country Championships,1580.115,150.0,0
51257,2023,NCAA Division III Cross Country Championships,1570.9178000000002,178.0,0
51257,2022,NCAA Division III Cross Country Championships,1579.1146999999999,147.0,0
41018,2022,NCAA Division III Cross Country Championships,1604.4208,208.0,0
41018,2021,NCAA Division III Cross Country Championships,1551.8,247.0,0
51260,2022,NCAA Division III Cross Country Championships,1600.52,200.0,0
51270,2023,NCAA Division III Cross Country Championships,1584.5212,212.0,0
32846,2021,NCAA Division III Cross Country Championships,1507.3,157.0,0
32847,2021,NCAA Division III Cross Country Championships,1533.0,204.0,0
53336,2021,NCAA Division III Cross Country Championships,1562.5,259.0,0
53337,2023,NCAA Division III Cross Country Championships,1537.2086,86.0,0
53337,2021,NCAA Division III Cross Country Championships,1539.4,216.0,0
77914,2023,NCAA Division III Cross Country Championships,1529.9067,67.0,0
77914,2022,NCAA Division III Cross Country Championships,1545.3053,53.0,0
77914,2021,NCAA Division III Cross Country Championships,1481.9,82.0,0
43098,2022,NCAA Division III Cross Country Championships,1587.7172,172.0,0
77913,2023,NCAA Division III Cross Country Championships,1605.0256,256.0,0
43101,2022,NCAA Division III Cross Country Championships,1592.1182999999999,183.0,0
30815,2022,NCAA Division III Cross Country Championships,1574.1128999999999,129.0,0
30815,2021,NCAA Division III Cross Country Championships,1501.8,137.0,0
77919,2023,NCAA Division III Cross Country Championships,1578.6199,199.0,0
6245,2021,NCAA Division III Cross Country Championships,1549.2,239.0,0
30824,2021,NCAA Division III Cross Country Championships,1518.3,179.0,0
45165,2021,NCAA Division III Cross Country Championships,1523.3,187.0,0
30832,2022,NCAA Division III Cross Country Championships,1597.2195000000002,195.0,0
24703,2023,NCAA Division III Cross Country Championships,1665.6287,287.0,0
51332,2022,NCAA Division III Cross Country Championships,1592.5185,185.0,0
51332,2021,NCAA Division III Cross Country Championships,1548.5,236.0,0
86160,2023,NCAA Division III Cross Country Championships,1567.4163,163.0,0
86164,2023,NCAA Division III Cross Country Championships,1582.7209,209.0,0
69792,2023,NCAA Division III Cross Country Championships,1562.5154,154.0,0
69792,2022,NCAA Division III Cross Country Championships,1712.2288,288.0,0
69793,2023,NCAA Division III Cross Country Championships,1580.7204000000002,204.0,0
69793,2022,NCAA Division III Cross Country Championships,1718.2289,289.0,0
69799,2022,NCAA Division III Cross Country Championships,1767.4292,292.0,0
47279,2021,NCAA Division III Cross Country Championships,1505.2,150.0,0
47280,2021,NCAA Division III Cross Country Championships,1588.6,276.0,0
10429,2021,NCAA Division III Cross Country Championships,1460.2,36.0,1
67778,2022,NCAA Division III Cross Country Championships,1587.3166999999999,167.0,0
10435,2021,NCAA Division III Cross Country Championships,1458.5,31.0,1
71875,2023,NCAA Division III Cross Country Championships,1538.5091,91.0,0
71877,2023,NCAA Division III Cross Country Championships,1556.0135,135.0,0
71880,2023,NCAA Division III Cross Country Championships,1517.7050000000002,50.0,0
71882,2023,NCAA Division III Cross Country Championships,1553.3127,127.0,0
43220,2023,NCAA Division III Cross Country Championships,1537.3087,87.0,0
43225,2023,NCAA Division III Cross Country Championships,1578.1198,198.0,0
71901,2023,NCAA Division III Cross Country Championships,1520.5057,57.0,0
43231,2023,NCAA Division III Cross Country Championships,1633.7278000000001,278.0,0
45288,2022,NCAA Division III Cross Country Championships,1572.3121999999998,122.0,0
45289,2022,NCAA Division III Cross Country Championships,1603.7205000000001,205.0,0
45290,2023,NCAA Division III Cross Country Championships,1504.8035,35.0,1
45290,2022,NCAA Division III Cross Country Championships,1576.0137,137.0,0
45291,2023,NCAA Division III Cross Country Championships,1636.428,280.0,0
45292,2023,NCAA Division III Cross Country Championships,1569.6169,169.0,0
45293,2023,NCAA Division III Cross Country Championships,1592.8232,232.0,0
71917,2023,NCAA Division III Cross Country Championships,1555.6134,134.0,0
90351,2023,NCAA Division III Cross Country Championships,1547.711,110.0,0
55537,2022,NCAA Division III Cross Country Championships,1554.7067,67.0,0
55537,2021,NCAA Division III Cross Country Championships,1477.4,66.0,0
45298,2023,NCAA Division III Cross Country Championships,1591.0227,227.0,0
55540,2022,NCAA Division III Cross Country Championships,1616.3232,232.0,0
55540,2021,NCAA Division III Cross Country Championships,1568.6,266.0,0
55552,2022,NCAA Division III Cross Country Championships,1620.5239,239.0,0
55552,2021,NCAA Division III Cross Country Championships,1483.6,87.0,0
26881,2023,NCAA Division III Cross Country Championships,1484.0016,16.0,1
26881,2022,NCAA Division III Cross Country Championships,1542.3045,45.0,0
26881,2021,NCAA Division III Cross Country Championships,1530.0,198.0,0
59648,2023,NCAA Division III Cross Country Championships,1530.6069,69.0,0
67849,2023,NCAA Division III Cross Country Championships,1538.209,90.0,0
67849,2022,NCAA Division III Cross Country Championships,1623.2242,242.0,0
73997,2022,NCAA Division III Cross Country Championships,1608.1218,218.0,0
26897,2023,NCAA Division III Cross Country Championships,1594.9238,238.0,0
47379,2023,NCAA Division III Cross Country Championships,1656.3284999999998,285.0,0
61730,2022,NCAA Division III Cross Country Championships,1618.1236,236.0,0
65830,2023,NCAA Division III Cross Country Championships,1519.7054,54.0,0
65830,2022,NCAA Division III Cross Country Championships,1579.8148999999999,149.0,0
53549,2021,NCAA Division III Cross Country Championships,1500.9,131.0,0
53554,2022,NCAA Division III Cross Country Championships,1536.4039,39.0,1
53555,2023,NCAA Division III Cross Country Championships,1619.5269,269.0,0
16698,2021,NCAA Division III Cross Country Championships,1555.5,254.0,0
16700,2021,NCAA Division III Cross Country Championships,1592.9,282.0,0
39235,2022,NCAA Division III Cross Country Championships,1559.308,80.0,0
39236,2022,NCAA Division III Cross Country Championships,1556.2071,71.0,0
39236,2021,NCAA Division III Cross Country Championships,1536.5,208.0,0
67914,2023,NCAA Division III Cross Country Championships,1546.2105000000001,105.0,0
67914,2022,NCAA Division III Cross Country Championships,1635.6256999999998,257.0,0
80209,2023,NCAA Division III Cross Country Championships,1554.3132,132.0,0
22869,2021,NCAA Division III Cross Country Championships,1613.6,286.0,0
55639,2023,NCAA Division III Cross Country Championships,1548.3112999999998,113.0,0
80217,2023,NCAA Division III Cross Country Championships,1581.7207,207.0,0
37214,2023,NCAA Division III Cross Country Championships,1512.4043000000001,43.0,0
37214,2022,NCAA Division III Cross Country Championships,1628.625,250.0,0
74081,2022,NCAA Division III Cross Country Championships,1529.9028,28.0,1
67948,2023,NCAA Division III Cross Country Championships,1570.0172,172.0,0
88445,2023,NCAA Division III Cross Country Championships,1618.5268,268.0,0
10634,2022,NCAA Division III Cross Country Championships,1669.7278000000001,278.0,0
47498,2023,NCAA Division III Cross Country Championships,1604.6254,254.0,0
10662,2022,NCAA Division III Cross Country Championships,1618.5238,238.0,0
88511,2023,NCAA Division III Cross Country Championships,1524.6062,62.0,0
