Athlete ID,Year,Athlete Name,Athlete Class,School,Number of Races Run,Personal Record,Season Record,Consistency,Days since Season PR,All-American,Nationals Place,Nationals Time
67603,2025,Emmanuel Leblond,SR,Johns Hopkins,4,1403.3006,1403.3006,18.80683114035627,50,1,1,1415.0001
63513,2025,Mohammed Bati,SR,Augsburg,6,1434.6000999999999,1463.7001,18.89518457173678,7,1,2,1419.6001999999999
79321,2025,Isaac vanWestrienen,SR,Cornell College,4,1437.1000999999999,1437.1000999999999,12.880958524407248,35,1,3,1419.8002999999999
108169,2025,Ryan Hagan,SO,Suny Geneseo,4,1425.1021999999998,1425.1021999999998,19.67546990042428,50,1,4,1432.7004
69204,2025,Grant Matthai,SR,Wis.-La Crosse,5,1397.0017,1397.0017,55.70434106949292,50,1,5,1433.7005000000001
64254,2025,Nathan Tassey,SR,Roger Williams,3,1437.8001,1458.2002,26.581192306716883,50,1,6,1434.3006
69203,2025,Aidan Matthai,SR,Wis.-La Crosse,5,1419.403,1419.403,37.42106585679245,50,1,7,1435.2007
66433,2025,Jacob Curulewski,SR,Carthage,6,1437.2001,1437.2001,18.424395916219375,21,1,8,1436.0008
69205,2025,Jayden Zywicki,SR,Wis.-La Crosse,5,1414.3023,1414.3023,49.93009988864839,50,1,9,1442.7009
76415,2025,Isaiah Hammerand,JR,Wartburg,5,1424.2001,1424.2001,17.77904638673287,21,1,10,1449.901
68441,2025,Jack Stein,SR,Pomona-Pitzer,6,1425.4006000000002,1425.4006000000002,23.432037228931993,56,1,11,1450.2011
71880,2025,Kevin Turlington,SR,St. Olaf,6,1447.5003,1447.5003,15.809180321016044,35,1,12,1452.3011999999999
61057,2025,Lance Sobaski,SR,Wartburg,4,1434.5002,1434.5002,18.878257143139585,21,1,13,1452.9013
94974,2025,Isaac Bourne,SR,Loras,6,1447.2006000000001,1447.2006000000001,16.844729535451062,21,1,14,1454.3014
81986,2025,Emerson Comer,JR,Suny Geneseo,4,1456.1005,1456.1005,12.782764350361573,35,1,15,1454.5015
83353,2025,Will Shuflit,JR,Colorado College,6,1444.9001,1444.9001,21.15602945328012,50,1,16,1455.2016
69206,2025,Joey Sullivan,SR,Wis.-La Crosse,4,1431.3043,1431.3043,21.24675942471874,50,1,17,1456.2017
61058,2025,Eli Larson,SR,Wartburg,6,1443.7003,1443.7003,17.027206325806954,21,1,18,1457.0018
119055,2025,Anthony Clark,FR,Johns Hopkins,3,1443.005,1443.005,12.749638608298762,50,1,19,1462.9019
71877,2025,Cameron Cullen,SR,Wis.-Oshkosh,6,1446.0009,1446.0009,31.992208167844865,21,1,20,1466.802
71440,2025,Cullen McCaleb,SR,Tufts,5,1457.9008000000001,1457.9008000000001,9.19253692170305,35,1,21,1467.7021
89023,2025,Evan Lacey,JR,RPI,5,1492.4025000000001,1492.4025000000001,10.442624991906847,35,1,22,1467.9022
121775,2025,Amir Barkan,SR,Pomona-Pitzer,6,1486.8056,1486.8056,14.525241078177233,56,1,23,1470.8023
45978,2025,Jack Hesse-Withbroe,SR,Wis.-Eau Claire,6,1433.2003,1433.2003,32.59195973010659,21,1,24,1471.6024
61730,2025,Luke Holland,SR,Uc Santa Cruz,4,1450.3016,1450.3016,22.49477021180425,56,1,25,1471.8025
89022,2025,Colin Goldschmidt,JR,RPI,6,1491.8036,1491.8036,21.99775060095007,50,1,26,1472.4026000000001
105162,2025,Renne Cooper,SO,MIT,4,1461.2012,1461.2012,31.28906424131081,35,1,27,1472.6027
69520,2025,Tobin Durham,SR,RPI,5,1475.1007,1503.5032,16.444866882477275,35,1,28,1473.1028
81988,2025,Pierce Young,JR,Suny Geneseo,2,1465.5016,1465.5016,13.049349999999892,35,1,29,1473.3029
76414,2025,BJ Sorg,JR,North Central (Ill.),5,1441.1001999999999,1441.1001999999999,10.56367835235442,21,1,30,1473.703
120942,2025,Theo Udelson-Nee,FR,NYU,5,1471.7006000000001,1471.7006000000001,28.11141348786282,50,1,31,1473.8030999999999
95474,2025,Oscar Frontjes,SO,North Central (Ill.),5,1467.403,1467.403,13.13727648191974,49,1,32,1474.9032000000002
106950,2025,Liam Hagerty,JR,NYU,5,1451.9004,1451.9004,22.866566866672382,35,1,33,1477.6033
94548,2025,Jefferson Wright,SO,Pomona-Pitzer,6,1473.1011999999998,1474.2039,16.616220430317185,56,1,34,1478.1034
89410,2025,Harris Gulbransen,JR,Tufts,4,1461.7013,1461.7013,15.704513128616123,35,1,35,1478.1035
66835,2025,Eric Rutherford,SR,Loras,6,1465.8011,1465.8011,15.365936011902274,21,1,36,1478.8036
43457,2025,Jack Kinzer,SR,Wartburg,5,1444.3005,1444.3005,20.886948884066314,21,1,37,1480.8037
77919,2025,Sanju Patel,JR,U. Of Chicago,4,1479.0015,1479.2011,11.964639588805031,7,1,38,1481.6037999999999
70060,2025,Gavin Byerly,SR,Manchester,6,1479.7028,1495.9005000000002,20.682716336291485,63,1,39,1482.6038999999998
68102,2025,Jeffrey Chen,SR,NYU,5,1462.8015,1462.8015,24.157673153017026,35,1,40,1483.204
64818,2025,Anson Butler,SR,Suny Geneseo,2,1511.1015,1522.8009,30.699850000000083,35,0,41,1484.1041
95587,2025,Donovan Crowley,SO,Case Western,3,1506.8007,1506.8007,14.295885683494909,7,0,42,1484.5042
85313,2025,Yichen Sun,JR,MIT,5,1461.1010999999999,1461.1010999999999,16.811354436499155,35,0,43,1484.9043000000001
80770,2025,Alex Hrycyszyn,JR,NYU,5,1486.3034,1486.3034,26.2553771754588,35,0,44,1486.7044
66432,2025,Jacob Kluckhohn,SR,North Central (Ill.),4,1481.5013,1481.5013,8.51966594808016,7,0,45,1487.6045
50505,2025,Ashton Deriso,SR,Oglethorpe,6,1472.2002,1472.2002,15.333775743840754,7,0,46,1488.6046
85390,2025,Stan Craig,JR,Amherst,3,1472.3005,1472.3005,19.201599999999985,21,0,47,1489.3047
85917,2025,Ellis Iurilli-Hough,JR,Connecticut College,6,1477.3009,1477.3009,19.14994502222921,21,0,48,1489.3048
62209,2025,Cian Monaghan,SR,Puget Sound,6,1454.1015,1454.1015,37.91411651069291,35,0,49,1489.9049
71896,2025,Gael Manzur-Strandlund,SR,St. Olaf,6,1505.7005000000001,1512.4074,25.551642724756505,35,0,50,1490.305
77916,2025,Spencer May,SR,U. Of Chicago,5,1499.7022,1499.7022,13.496387123019318,7,0,51,1490.9051000000002
72741,2025,Micah Lachman,SR,Haverford,6,1468.8001,1468.8001,10.287551857584903,35,0,52,1491.2052
96623,2025,Oliver Moss,SO,Carnegie Mellon,6,1482.6008,1482.6008,24.5127154409625,71,0,53,1493.0053
80474,2025,Kenny Wanlass,JR,Johns Hopkins,6,1467.2003,1467.2003,25.277524987276724,21,0,54,1493.9054
85389,2025,Harrison Dow,JR,Amherst,5,1461.8006,1462.0014,24.09318441437328,35,0,55,1493.9055
80769,2025,Sean Miller,JR,Vassar,7,1460.801,1460.801,26.919098220066772,35,0,56,1494.4056
112991,2025,Carter Bengtson,FR,Amherst,5,1470.7005000000001,1470.7005000000001,28.04256440915971,50,0,57,1494.5057
89394,2025,Quinn Hampson,SR,Tufts,5,1476.8005,1476.8005,13.187189859799519,7,0,58,1495.5058
69515,2025,Jack Loughery,SR,RPI,5,1468.8003999999999,1500.3009,12.437477660940798,63,0,59,1496.3059
106417,2025,Mateo Alvarado-Venegas,SO,Wis.-Stevens Point,5,1468.0013,1468.0013,19.929056771116954,21,0,60,1496.506
71712,2025,Owen Johnson,SR,Middlebury,6,1493.3043,1493.3043,82.10907067540138,35,0,61,1496.9061000000002
111378,2025,Max Sudrzynski,FR,Washington U.,6,1497.3120999999999,1497.3120999999999,19.812520833351847,57,0,62,1497.5062
69526,2025,Luke Zanuck,SR,Williams,6,1484.8007,1484.8007,15.1522249908586,49,0,63,1497.6063
86767,2025,Logan Murphy,JR,Wis.-Stevens Point,5,1474.1015,1482.8016,14.738158760252222,21,0,64,1498.0064
83825,2025,Stian Asper,JR,Redlands,7,1457.4025000000001,1457.4025000000001,30.08158181426063,35,0,65,1498.2065
