Athlete ID,Year,Athlete Name,Athlete Class,School,Number of Races Run,Personal Record,Season Record,Consistency,Days since Season PR,All-American
2654,2021,Luke Wilson,GR,Berea,4,1490.1,1490.1,18.578123335435905,7,0
3238,2021,Joe Freiburger,GR,Wartburg,5,1456.8,1456.8,29.142587393709583,35,0
3239,2021,Christopher Collet,GR,Wartburg,5,1461.4,1461.4,27.106264958492527,35,0
3240,2021,Alec Ille,GR,Wartburg,4,1496.7,1496.7,14.526247794939994,7,0
3250,2021,Matt Heinzman,GR,Wartburg,4,1513.5,1513.5,29.504353492323805,35,0
3260,2021,Morgan Shirley-Fairbairn,GR,Wartburg,5,1481.1,1481.1,19.954147438565265,7,0
3370,2021,Jack Ennis,GR,TCNJ,5,1519.0,1519.0,39.346410255574746,21,0
3982,2021,Logan Singer,GR,Case Western,5,1523.0,1533.9,31.055794950379223,7,0
3985,2021,Bill Daily,GR,Otterbein,6,1490.9,1490.9,46.70501472004905,35,0
3990,2021,Cal Yackin,GR,Grand Valley St.,6,1479.1,1479.1,32.551706560486195,35,0
4045,2021,Nathan Craft,GR,Otterbein,6,1533.8,1533.8,36.48314679410208,35,0
4726,2021,Trey Razanauskas,GR,Case Western,6,1448.0,1482.7,40.51791702444734,7,0
4729,2021,Liam Galligan,GR,Franciscan (Ohio),8,1477.0,1488.5,53.20806705754307,7,0
4733,2021,Jeff Joseph,GR,Mount Union,4,1477.0,1488.9,13.567332088513181,7,0
4734,2021,Jamie Dailey,GR,John Carroll,4,1455.0,1493.2,26.520027809186054,7,0
4759,2021,Luke Guttormson,GR,Loras,4,1487.0,1491.6,35.20088382728798,35,0
4774,2021,Robert St.-Clair,GR,Case Western,6,1471.0,1524.0,56.71654432350405,7,0
4781,2021,Gage Beireis,GR,Otterbein,6,1495.7,1495.7,47.16132313665509,35,0
4792,2021,Jared Briant,GR,Rhodes,3,1533.6,1533.6,18.017213991069767,7,0
4804,2021,Andrew Miner,GR,John Carroll,4,1492.2,1492.2,33.44602928600043,50,0
4810,2021,Joey Schultz,GR,Loras,5,1492.1,1492.1,34.309938428974235,35,0
4817,2021,Jackson Donahue,GR,Bates,5,1512.8,1512.8,23.462992136554117,35,0
4826,2021,Jason Mehalic,GR,Otterbein,6,1501.5,1501.5,22.70166513716561,35,0
4843,2021,Ryan Smith,GR,Bates,5,1565.0,1565.0,60.29691202706817,35,0
5121,2021,Stevie Steinberg,GR,Claremont-Mudd-Scripps,5,1454.0,1474.6,21.561391420778044,21,0
5122,2021,Kyril van Schendel,GR,Claremont-Mudd-Scripps,5,1451.0,1482.0,22.422185442101718,63,0
5124,2021,Will Kimball,GR,Claremont-Mudd-Scripps,5,1468.0,1520.6,24.82808087629812,21,0
