Athlete ID,Meet Date,Meet Name,Race Distance,Time,Place
9698,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1442.4001,1
54090,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1460.7002,2
52298,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1463.1002999999998,3
8908,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1470.2004,4
53852,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1472.0005,5
57371,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1475.2006000000001,6
13701,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1475.8007,7
53850,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1479.6008,8
56622,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1480.1009,9
56625,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1480.301,10
54089,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1481.5011,11
3239,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1481.8011999999999,12
71438,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1482.6012999999998,13
28366,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1483.1014,14
32164,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1483.3015,15
26881,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1484.0016,16
5298,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1485.4017000000001,17
13801,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1485.6018,18
4896,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1486.1019,19
