Athlete ID,Year,Athlete Name,Athlete Class,School,Number of Races Run,Personal Record,Season Record,Consistency,Days since Season PR,All-American
5121,2021,,,,0,NA,NA,NA,NA,0
5122,2021,,,,0,NA,NA,NA,NA,0
5124,2021,,,,0,NA,NA,NA,NA,0
53765,2021,,,,0,NA,NA,NA,NA,0
5130,2021,,,,0,NA,NA,NA,NA,0
27147,2021,,,,0,NA,NA,NA,NA,0
29713,2021,,,,0,NA,NA,NA,NA,0
56851,2021,,,,0,NA,NA,NA,NA,0
5141,2021,,,,0,NA,NA,NA,NA,0
29718,2021,,,,0,NA,NA,NA,NA,0
57370,2021,,,,0,NA,NA,NA,NA,0
57371,2021,John Lucey,GR,Williams,0,NA,NA,NA,NA,0
57372,2021,Charles Namiot,GR,Williams,0,NA,NA,NA,NA,0
57375,2021,Nate Lentz,GR,Williams,0,NA,NA,NA,NA,0
52258,2021,Lloyd Young,GR,St. John'S (Minn.),0,NA,NA,NA,NA,0
51235,2021,,,,0,NA,NA,NA,NA,0
50210,2021,,,,0,NA,NA,NA,NA,0
50216,2021,Ryan Champa,GR,John Carroll,0,NA,NA,NA,NA,0
56876,2021,,,,0,NA,NA,NA,NA,0
47664,2021,Calvin Boone,GR,St. Scholastica,0,NA,NA,NA,NA,0
50234,2021,,,,0,NA,NA,NA,NA,0
41018,2021,,,,0,NA,NA,NA,NA,0
13887,2021,,,,0,NA,NA,NA,NA,0
33857,2021,,,,0,NA,NA,NA,NA,0
33860,2021,,,,0,NA,NA,NA,NA,0
33861,2021,,,,0,NA,NA,NA,NA,0
52296,2021,,,,0,NA,NA,NA,NA,0
52299,2021,,,,0,NA,NA,NA,NA,0
33867,2021,,,,0,NA,NA,NA,NA,0
32846,2021,,,,0,NA,NA,NA,NA,0
32847,2021,,,,0,NA,NA,NA,NA,0
33874,2021,,,,0,NA,NA,NA,NA,0
33876,2021,,,,0,NA,NA,NA,NA,0
49750,2021,Dylan May,JR,Southern Virginia,0,NA,NA,NA,NA,0
6743,2021,,,,0,NA,NA,NA,NA,0
53336,2021,,,,0,NA,NA,NA,NA,0
5208,2021,,,,0,NA,NA,NA,NA,0
6744,2021,,,,0,NA,NA,NA,NA,0
77914,2021,Jack Begley,GR,U. Of Chicago,0,NA,NA,NA,NA,0
53850,2021,Vince Simonetti,GR,RPI,0,NA,NA,NA,NA,0
5212,2021,,,,0,NA,NA,NA,NA,0
53852,2021,Cory Kennedy,GR,Colorado St.,0,NA,NA,NA,NA,0
2654,2021,,,,0,NA,NA,NA,NA,0
6751,2021,,,,0,NA,NA,NA,NA,0
30815,2021,,,,0,NA,NA,NA,NA,0
53337,2021,Nick Edwards-Levin,GR,Amherst,0,NA,NA,NA,NA,0
5218,2021,,,,0,NA,NA,NA,NA,0
28259,2021,,,,0,NA,NA,NA,NA,0
5220,2021,,,,0,NA,NA,NA,NA,0
5221,2021,,,,0,NA,NA,NA,NA,0
6754,2021,,,,0,NA,NA,NA,NA,0
6245,2021,,,,0,NA,NA,NA,NA,0
30824,2021,,,,0,NA,NA,NA,NA,0
5225,2021,,,,0,NA,NA,NA,NA,0
6762,2021,,,,0,NA,NA,NA,NA,0
6763,2021,,,,0,NA,NA,NA,NA,0
28265,2021,,,,0,NA,NA,NA,NA,0
5229,2021,,,,0,NA,NA,NA,NA,0
28270,2021,,,,0,NA,NA,NA,NA,0
5231,2021,,,,0,NA,NA,NA,NA,0
45165,2021,,,,0,NA,NA,NA,NA,0
6769,2021,,,,0,NA,NA,NA,NA,0
5230,2021,,,,0,NA,NA,NA,NA,0
15988,2021,Miles Takiguchi,GR,Vassar,0,NA,NA,NA,NA,0
28275,2021,,,,0,NA,NA,NA,NA,0
15990,2021,,,,0,NA,NA,NA,NA,0
28276,2021,Nick Andrews,GR,Suny Geneseo,0,NA,NA,NA,NA,0
28280,2021,,,,0,NA,NA,NA,NA,0
4729,2021,,,,0,NA,NA,NA,NA,0
15994,2021,,,,0,NA,NA,NA,NA,0
5235,2021,,,,0,NA,NA,NA,NA,0
4726,2021,,,,0,NA,NA,NA,NA,0
5237,2021,,,,0,NA,NA,NA,NA,0
13430,2021,,,,0,NA,NA,NA,NA,0
15997,2021,,,,0,NA,NA,NA,NA,0
5246,2021,,,,0,NA,NA,NA,NA,0
28286,2021,,,,0,NA,NA,NA,NA,0
4734,2021,,,,0,NA,NA,NA,NA,0
4733,2021,Jeff Joseph,GR,Mount Union,0,NA,NA,NA,NA,0
13438,2021,,,,0,NA,NA,NA,NA,0
33411,2021,,,,0,NA,NA,NA,NA,0
38021,2021,,,,0,NA,NA,NA,NA,0
5247,2021,,,,0,NA,NA,NA,NA,0
16006,2021,,,,0,NA,NA,NA,NA,0
16008,2021,,,,0,NA,NA,NA,NA,0
51332,2021,,,,0,NA,NA,NA,NA,0
5259,2021,,,,0,NA,NA,NA,NA,0
13452,2021,,,,0,NA,NA,NA,NA,0
13453,2021,,,,0,NA,NA,NA,NA,0
16014,2021,,,,0,NA,NA,NA,NA,0
16016,2021,Jason Gibbons,GR,RPI,0,NA,NA,NA,NA,0
5266,2021,,,,0,NA,NA,NA,NA,0
5268,2021,,,,0,NA,NA,NA,NA,0
5269,2021,Connor Riss,GR,North Central (Ill.),0,NA,NA,NA,NA,0
13462,2021,,,,0,NA,NA,NA,NA,0
4759,2021,,,,0,NA,NA,NA,NA,0
28311,2021,,,,0,NA,NA,NA,NA,0
23705,2021,,,,0,NA,NA,NA,NA,0
5275,2021,,,,0,NA,NA,NA,NA,0
13467,2021,,,,0,NA,NA,NA,NA,0
5279,2021,,,,0,NA,NA,NA,NA,0
5282,2021,,,,0,NA,NA,NA,NA,0
50852,2021,Will Kelly,GR,Montana State,0,NA,NA,NA,NA,0
3238,2021,,,,0,NA,NA,NA,NA,0
3239,2021,Christopher Collet,GR,Wartburg,0,NA,NA,NA,NA,0
28327,2021,,,,0,NA,NA,NA,NA,0
4774,2021,,,,0,NA,NA,NA,NA,0
3240,2021,,,,0,NA,NA,NA,NA,0
5291,2021,,,,0,NA,NA,NA,NA,0
33452,2021,,,,0,NA,NA,NA,NA,0
33453,2021,,,,0,NA,NA,NA,NA,0
13479,2021,,,,0,NA,NA,NA,NA,0
33455,2021,,,,0,NA,NA,NA,NA,0
47279,2021,,,,0,NA,NA,NA,NA,0
50859,2021,David Lynn,GR,St. Olaf,0,NA,NA,NA,NA,0
3250,2021,,,,0,NA,NA,NA,NA,0
5295,2021,,,,0,NA,NA,NA,NA,0
4781,2021,,,,0,NA,NA,NA,NA,0
5294,2021,,,,0,NA,NA,NA,NA,0
5302,2021,,,,0,NA,NA,NA,NA,0
47280,2021,,,,0,NA,NA,NA,NA,0
4792,2021,,,,0,NA,NA,NA,NA,0
5307,2021,,,,0,NA,NA,NA,NA,0
3260,2021,,,,0,NA,NA,NA,NA,0
10429,2021,,,,0,NA,NA,NA,NA,0
9705,2021,,,,0,NA,NA,NA,NA,0
10435,2021,,,,0,NA,NA,NA,NA,0
4804,2021,,,,0,NA,NA,NA,NA,0
5317,2021,,,,0,NA,NA,NA,NA,0
46787,2021,,,,0,NA,NA,NA,NA,0
40647,2021,,,,0,NA,NA,NA,NA,0
23242,2021,Simon Heys,GR,Wilmington (Ohio),0,NA,NA,NA,NA,0
11466,2021,,,,0,NA,NA,NA,NA,0
8906,2021,,,,0,NA,NA,NA,NA,0
5322,2021,,,,0,NA,NA,NA,NA,0
50894,2021,Ian Curtis,GR,St. Olaf,0,NA,NA,NA,NA,0
28366,2021,Frank Csorba,GR,Lynchburg,0,NA,NA,NA,NA,0
4810,2021,,,,0,NA,NA,NA,NA,0
4817,2021,,,,0,NA,NA,NA,NA,0
5329,2021,,,,0,NA,NA,NA,NA,0
28372,2021,,,,0,NA,NA,NA,NA,0
4826,2021,,,,0,NA,NA,NA,NA,0
52955,2021,Sam Llaneza,GR,Lynchburg,0,NA,NA,NA,NA,0
11483,2021,,,,0,NA,NA,NA,NA,0
6760,2021,,,,0,NA,NA,NA,NA,0
52958,2021,Bryce Davis,GR,Lynchburg,0,NA,NA,NA,NA,0
52959,2021,,,,0,NA,NA,NA,NA,0
5344,2021,,,,0,NA,NA,NA,NA,0
50914,2021,Cullen Capuano,GR,Washington U.,0,NA,NA,NA,NA,0
20195,2021,,,,0,NA,NA,NA,NA,0
17635,2021,,,,0,NA,NA,NA,NA,0
50918,2021,Andrew Sidamon-Eristoff,GR,Washington U.,0,NA,NA,NA,NA,0
42727,2021,,,,0,NA,NA,NA,NA,0
5236,2021,,,,0,NA,NA,NA,NA,0
20201,2021,,,,0,NA,NA,NA,NA,0
13034,2021,,,,0,NA,NA,NA,NA,0
5355,2021,,,,0,NA,NA,NA,NA,0
4843,2021,,,,0,NA,NA,NA,NA,0
13480,2021,,,,0,NA,NA,NA,NA,0
26351,2021,,,,0,NA,NA,NA,NA,0
26352,2021,Ryan Harvey,GR,Loras,0,NA,NA,NA,NA,0
55537,2021,,,,0,NA,NA,NA,NA,0
26354,2021,,,,0,NA,NA,NA,NA,0
26353,2021,,,,0,NA,NA,NA,NA,0
56052,2021,,,,0,NA,NA,NA,NA,0
17648,2021,,,,0,NA,NA,NA,NA,0
55540,2021,,,,0,NA,NA,NA,NA,0
5371,2021,,,,0,NA,NA,NA,NA,0
55552,2021,,,,0,NA,NA,NA,NA,0
26881,2021,Bradshaw Lathbury,GR,Berry,0,NA,NA,NA,NA,0
18178,2021,,,,0,NA,NA,NA,NA,0
18182,2021,Henry Bowman,GR,Carleton,0,NA,NA,NA,NA,0
33544,2021,,,,0,NA,NA,NA,NA,0
5386,2021,,,,0,NA,NA,NA,NA,0
5243,2021,,,,0,NA,NA,NA,NA,0
34073,2021,,,,0,NA,NA,NA,NA,0
5406,2021,,,,0,NA,NA,NA,NA,0
58145,2021,,,,0,NA,NA,NA,NA,0
6774,2021,,,,0,NA,NA,NA,NA,0
50983,2021,,,,0,NA,NA,NA,NA,0
3370,2021,,,,0,NA,NA,NA,NA,0
53549,2021,,,,0,NA,NA,NA,NA,0
56622,2021,Lucas Florsheim,GR,Minnesota,0,NA,NA,NA,NA,0
27440,2021,,,,0,NA,NA,NA,NA,0
56625,2021,Derek Fearon,GR,Pomona-Pitzer,0,NA,NA,NA,NA,0
56626,2021,Colin Kirkpatrick,GR,Pomona-Pitzer,0,NA,NA,NA,NA,0
27441,2021,,,,0,NA,NA,NA,NA,0
6778,2021,,,,0,NA,NA,NA,NA,0
58679,2021,,,,0,NA,NA,NA,NA,0
58681,2021,,,,0,NA,NA,NA,NA,0
16698,2021,,,,0,NA,NA,NA,NA,0
58683,2021,Gordon Doore,GR,Colby,0,NA,NA,NA,NA,0
16700,2021,,,,0,NA,NA,NA,NA,0
58691,2021,,,,0,NA,NA,NA,NA,0
17732,2021,,,,0,NA,NA,NA,NA,0
17733,2021,,,,0,NA,NA,NA,NA,0
39236,2021,,,,0,NA,NA,NA,NA,0
54089,2021,Gunner Schlender,GR,Wis.-Whitewater,0,NA,NA,NA,NA,0
54090,2021,Christian Patzka,GR,Wis.-Whitewater,0,NA,NA,NA,NA,0
50506,2021,Tristan Olpin,GR,Emory,0,NA,NA,NA,NA,0
54092,2021,,,,0,NA,NA,NA,NA,0
50508,2021,David Evans,GR,Emory,0,NA,NA,NA,NA,0
44873,2021,,,,0,NA,NA,NA,NA,0
17748,2021,,,,0,NA,NA,NA,NA,0
17749,2021,,,,0,NA,NA,NA,NA,0
17750,2021,,,,0,NA,NA,NA,NA,0
6750,2021,,,,0,NA,NA,NA,NA,0
43861,2021,,,,0,NA,NA,NA,NA,0
31577,2021,,,,0,NA,NA,NA,NA,0
17751,2021,,,,0,NA,NA,NA,NA,0
22869,2021,,,,0,NA,NA,NA,NA,0
17756,2021,,,,0,NA,NA,NA,NA,0
17758,2021,,,,0,NA,NA,NA,NA,0
9063,2021,,,,0,NA,NA,NA,NA,0
35689,2021,,,,0,NA,NA,NA,NA,0
35693,2021,,,,0,NA,NA,NA,NA,0
35694,2021,Vedang Lad,GR,MIT,0,NA,NA,NA,NA,0
56685,2021,,,,0,NA,NA,NA,NA,0
35696,2021,Sam Acquaviva,GR,MIT,0,NA,NA,NA,NA,0
56688,2021,Ned Farrington,GR,Maine,0,NA,NA,NA,NA,0
35698,2021,,,,0,NA,NA,NA,NA,0
35699,2021,,,,0,NA,NA,NA,NA,0
26481,2021,,,,0,NA,NA,NA,NA,0
56687,2021,,,,0,NA,NA,NA,NA,0
56686,2021,,,,0,NA,NA,NA,NA,0
56694,2021,,,,0,NA,NA,NA,NA,0
13699,2021,,,,0,NA,NA,NA,NA,0
28548,2021,,,,0,NA,NA,NA,NA,0
35717,2021,,,,0,NA,NA,NA,NA,0
13701,2021,Caleb Silver,GR,Central College,0,NA,NA,NA,NA,0
13700,2021,,,,0,NA,NA,NA,NA,0
43912,2021,Luke Witvliet,GR,Calvin,0,NA,NA,NA,NA,0
43914,2021,,,,0,NA,NA,NA,NA,0
43915,2021,Thaine Nederveld,GR,Calvin,0,NA,NA,NA,NA,0
53132,2021,Walter Wagude,GR,Tufts,0,NA,NA,NA,NA,0
3982,2021,,,,0,NA,NA,NA,NA,0
53136,2021,Alex Friedman,GR,Tufts,0,NA,NA,NA,NA,0
3985,2021,,,,0,NA,NA,NA,NA,0
56722,2021,Ryan Tobin,GR,NYU,0,NA,NA,NA,NA,0
45969,2021,Mason Shea,GR,Wis.-Eau Claire,0,NA,NA,NA,NA,0
3990,2021,,,,0,NA,NA,NA,NA,0
57251,2021,,,,0,NA,NA,NA,NA,0
57252,2021,,,,0,NA,NA,NA,NA,0
51120,2021,,,,0,NA,NA,NA,NA,0
49080,2021,Colin McLaughlin,GR,Carnegie Mellon,0,NA,NA,NA,NA,0
49081,2021,Matthew Coyle,GR,Carnegie Mellon,0,NA,NA,NA,NA,0
38846,2021,Peter Weiss,GR,George Fox,0,NA,NA,NA,NA,0
49087,2021,Charlie Murphy,GR,Carnegie Mellon,0,NA,NA,NA,NA,0
49091,2021,,,,0,NA,NA,NA,NA,0
13765,2021,,,,0,NA,NA,NA,NA,0
13772,2021,,,,0,NA,NA,NA,NA,0
4045,2021,,,,0,NA,NA,NA,NA,0
22992,2021,,,,0,NA,NA,NA,NA,0
22993,2021,David Reynolds,GR,WPI,0,NA,NA,NA,NA,0
56786,2021,Alec Gironda,GR,Middlebury,0,NA,NA,NA,NA,0
56787,2021,Drew Donahue,GR,Middlebury,0,NA,NA,NA,NA,0
15828,2021,,,,0,NA,NA,NA,NA,0
56791,2021,Ziggy Goddard,GR,Middlebury,0,NA,NA,NA,NA,0
22999,2021,,,,0,NA,NA,NA,NA,0
46552,2021,Julian Watson,GR,Loras,0,NA,NA,NA,NA,0
13787,2021,,,,0,NA,NA,NA,NA,0
23003,2021,,,,0,NA,NA,NA,NA,0
26078,2021,,,,0,NA,NA,NA,NA,0
9695,2021,,,,0,NA,NA,NA,NA,0
26080,2021,,,,0,NA,NA,NA,NA,0
23007,2021,,,,0,NA,NA,NA,NA,0
9698,2021,Ethan Gregg,GR,Wis.-La Crosse,0,NA,NA,NA,NA,0
13427,2021,,,,0,NA,NA,NA,NA,0
26079,2021,,,,0,NA,NA,NA,NA,0
